"conta";"data_mov";"nr_doc";"historico";"valor";"deb_cred"
"0704003000009999";"20190731";"900677";"cheq comp";"1081.50";"d"
"0704003000009999";"20190731";"900684";"cheq comp";"1651.76";"d"
"0704003000009999";"20190731";"727220";"resg autom";"2319.04";"c"
"0704003000009999";"20190801";"000000";"dp dinh ag";"320.00";"c"
"0704003000009999";"20190801";"110000";"dp dinh ag";"2200.27";"c"
"0704003000009999";"20190805";"000000";"dp dinh ag";"4828.88";"c"
"0704003000009999";"20190805";"900669";"cheque sac";"17490.48";"d"
"0704003000009999";"20190805";"072019";"db cest pj";"99.00";"d"
"0704003000009999";"20190805";"727220";"resg autom";"10240.33";"c"
"0704003000009999";"20190806";"110000";"dp dinh ag";"2476.04";"c"
"0704003000009999";"20190807";"110000";"dp che 24h";"6000.00";"c"
"0704003000009999";"20190808";"900072";"est dep ch";"6000.00";"d"
"0704003000009999";"20190808";"900678";"cheq comp";"4366.75";"d"
"0704003000009999";"20190808";"900681";"cheq comp";"7097.80";"d"
"0704003000009999";"20190808";"727220";"resg autom";"8988.51";"c"
"0704003000009999";"20190809";"900688";"cheq comp";"1527.20";"d"
"0704003000009999";"20190809";"727220";"resg autom";"1527.20";"c"
"0704003000009999";"20190812";"110000";"dp dinh ag";"994.92";"c"
"0704003000009999";"20190812";"110000";"dp che 24h";"6000.00";"c"
"0704003000009999";"20190813";"900072";"est dep ch";"6000.00";"d"
"0704003000009999";"20190814";"000000";"dp dinh ag";"39763.87";"c"
"0704003000009999";"20190814";"900670";"cheq comp";"744.00";"d"
"0704003000009999";"20190815";"208870";"aplicacao";"40000.00";"d"
"0704003000009999";"20190815";"000000";"dp dinh ag";"20686.79";"c"
"0704003000009999";"20190815";"150947";"cred tev";"5186.58";"c"
"0704003000009999";"20190816";"900680";"cheq comp";"6983.13";"d"
"0704003000009999";"20190819";"000237";"cred ted";"1827.66";"c"
"0704003000009999";"20190819";"000237";"cred ted";"3643.13";"c"
"0704003000009999";"20190820";"495707";"aplicacao";"24375.82";"d"
"0704003000009999";"20190823";"900672";"cheq comp";"5050.41";"d"
"0704003000009999";"20190823";"727220";"resg autom";"5050.41";"c"
"0704003000009999";"20190827";"271757";"cred tev";"247.36";"c"
"0704003000009999";"20190828";"900676";"cheque sac";"1160.00";"d"
"0704003000009999";"20190828";"727220";"resg autom";"912.64";"c"
"0704003000009999";"20190829";"900679";"cheq comp";"4010.33";"d"
"0704003000009999";"20190829";"900750";"cheq comp";"1678.36";"d"
"0704003000009999";"20190829";"727220";"resg autom";"5688.69";"c"
"0704003000009999";"20190830";"900675";"cheq comp";"1742.48";"d"
"0704003000009999";"20190830";"727220";"resg autom";"1742.48";"c"
